Pressione, Can A in funzione di Posizione, Can 1 e 2, Raccolta #3
Posizione, Can 1 e 2 ( m )	Pressione, Can A ( kPa )
-1,250000E-4	0,341
-1,250000E-4	0,346
-1,250000E-4	0,336
-1,250000E-4	0,346
-1,250000E-4	0,336
-1,250000E-4	0,346
-1,250000E-4	0,336
-1,250000E-4	0,336
-1,250000E-4	0,341
-1,250000E-4	0,346
-1,250000E-4	0,336
-1,250000E-4	0,346
-1,250000E-4	0,341
-1,250000E-4	0,346
-1,250000E-4	0,341
-1,250000E-4	0,346
-1,250000E-4	0,336
-1,250000E-4	0,336
-1,250000E-4	0,336
-1,250000E-4	0,346
-1,250000E-4	0,336
-1,250000E-4	0,346
-1,250000E-4	0,336
-1,250000E-4	0,341
-1,250000E-4	0,336
-1,250000E-4	0,346
-1,250000E-4	0,341
-1,250000E-4	0,336
-1,250000E-4	0,336
-1,250000E-4	0,346
-1,250000E-4	0,341
-1,250000E-4	0,336
-1,250000E-4	0,336
-1,250000E-4	0,346
-1,250000E-4	0,341
-1,250000E-4	0,346
-1,250000E-4	0,336
-1,250000E-4	0,341
-1,250000E-4	0,341
-1,250000E-4	0,346
-1,250000E-4	0,336
-1,250000E-4	0,336
-1,250000E-4	0,336
-1,250000E-4	0,336
-1,250000E-4	0,336
-1,250000E-4	0,346
-1,250000E-4	0,336
-1,250000E-4	0,336
-1,250000E-4	0,336
-1,250000E-4	0,336
-1,250000E-4	0,336
-1,250000E-4	0,444
-1,875000E-4	0,405
-1,875000E-4	0,390
-2,500000E-4	0,414
-2,500000E-4	0,449
-2,500000E-4	0,468
-3,125000E-4	0,473
-3,125000E-4	0,473
-3,125000E-4	0,478
-3,125000E-4	0,483
-3,125000E-4	0,488
-3,125000E-4	0,493
-3,125000E-4	0,502
-3,125000E-4	0,502
-3,125000E-4	0,507
-3,125000E-4	0,512
-3,750000E-4	0,522
-3,750000E-4	0,532
-3,750000E-4	0,541
-3,750000E-4	0,541
-3,750000E-4	0,541
-3,750000E-4	0,541
-3,750000E-4	0,546
-3,750000E-4	0,551
-4,375000E-4	0,556
-4,375000E-4	0,566
-4,375000E-4	0,576
-4,375000E-4	0,580
-4,375000E-4	0,590
-5,000000E-4	0,600
-5,000000E-4	0,615
-5,000000E-4	0,615
-5,000000E-4	0,620
-5,000000E-4	0,624
-5,000000E-4	0,639
-5,625000E-4	0,649
-5,625000E-4	0,659
-5,625000E-4	0,659
-5,625000E-4	0,668
-5,625000E-4	0,678
-5,625000E-4	0,678
-6,250000E-4	0,683
-6,250000E-4	0,678
-6,250000E-4	0,678
-6,250000E-4	0,688
-6,250000E-4	0,825
-6,875000E-4	0,854
-7,500000E-4	0,746
-7,500000E-4	0,707
-7,500000E-4	0,756
-7,500000E-4	0,898
-8,125000E-4	0,864
-8,125000E-4	0,820
-8,125000E-4	0,766
-8,125000E-4	0,815
-8,125000E-4	0,820
-8,125000E-4	0,829
-8,125000E-4	0,829
-8,125000E-4	0,825
-8,125000E-4	0,810
-8,125000E-4	0,815
-8,125000E-4	0,815
-8,125000E-4	0,815
-8,125000E-4	0,815
-8,125000E-4	0,815
-8,125000E-4	0,815
-8,125000E-4	0,810
-8,125000E-4	0,805
-8,125000E-4	0,810
-8,125000E-4	0,810
-8,125000E-4	0,805
-8,125000E-4	0,805
-8,125000E-4	0,805
-8,125000E-4	0,800
-8,125000E-4	0,800
-8,125000E-4	0,800
-8,125000E-4	0,795
-8,125000E-4	0,795
-8,125000E-4	0,795
-8,125000E-4	0,795
-8,125000E-4	0,795
-8,125000E-4	0,795
-8,125000E-4	0,790
-8,125000E-4	0,795
-8,125000E-4	0,790
-8,125000E-4	0,795
-8,125000E-4	0,790
-8,125000E-4	0,790
-8,125000E-4	0,790
-8,125000E-4	0,786
-8,125000E-4	0,786
-8,125000E-4	0,786
-8,125000E-4	0,790
-8,125000E-4	0,786
-8,125000E-4	0,786
-8,125000E-4	0,781
